Cálculo de Absorción Histórica vs. Absorción 2025,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
,[1],[2],[2],[3],[2] (*),[4],,[2],[2],[5],[2],[5],[2],[5],[6],[7],[8],,
,Proyecto,Stock inicial,Unidades disponibles,Ventas Totales,Meses en Mercado,Absorción Histórica,,Inv. Disp. Q4 2024,Inv. Disp. Q1 2025,Ventas Q1 2025,Inv. Disp. Q2 2025,Ventas Q2 2025,Inv. Disp. Q3 2025,Ventas Q3 2025,Total Ventas 2025,Meses 2025,Absorción 2025,,Revisión
,Alana Cerro Colorado,47,40,7,9,0.7777777777777778,,-,47,0,45,2,40,5,7,9,0.7777777777777778,,Ok
,Avita Living San Jose T. Agave,16,16,0,7,0,,-,-,0,-,0,16,0,0,7,0,,Ok
,Casa Nima,93,37,56,38,1.4736842105263157,,41,40,1,39,1,37,2,4,9,0.4444444444444444,,Ok
,Cenit,59,26,33,46,0.717391304347826,,27,13,14,27,0,26,1,15,9,1.6666666666666667,,Ok
,Colorado Hills Fase 1,35,1,34,49,0.6938775510204082,,3,-,0,1,0,1,0,0,9,0,,Ok
,Colorado Hills Fase II,20,9,11,36,0.3055555555555556,,10,10,0,9,1,9,0,1,9,0.1111111111111111,,Ok
,Cora,66,2,64,45,1.4222222222222223,,4,4,0,3,1,2,1,2,9,0.2222222222222222,,Ok
,Cora Sur,26,14,12,16,0.75,,16,15,1,14,1,14,0,2,9,0.2222222222222222,,Ok
,Dunna,65,42,23,9,2.5555555555555554,,65,47,18,45,2,42,3,23,9,2.5555555555555554,,Ok
,El Valle,12,10,2,33,0.06060606060606061,,10,10,0,10,0,10,0,0,9,0,,Ok
,Emma,16,3,13,29,0.4482758620689655,,3,3,0,3,0,3,0,0,9,0,,Ok
,Hideaways,85,75,10,10,1,,84,75,9,75,0,75,0,9,9,1,,Ok
,La Reserva,16,5,11,20,0.55,,5,4,1,4,0,5,0,1,9,0.1111111111111111,,Ok
,Laiva Art Walk,35,5,30,21,1.4285714285714286,,12,12,0,9,3,5,4,7,9,0.7777777777777778,,Ok
,Larena F.1,30,23,7,17,0.4117647058823529,,23,23,0,22,1,23,0,1,9,0.1111111111111111,,Ok
,Mare,50,14,36,24,1.5,,21,15,6,14,1,14,0,7,9,0.7777777777777778,,Ok
,Muralla,28,24,4,6,0.6666666666666666,,28,26,2,25,1,24,1,4,6,0.6666666666666666,,Ok
,Nolah,16,6,10,9,1.1111111111111112,,16,11,5,7,4,6,1,10,9,1.1111111111111112,,Ok
,North Enclave Fase 1,20,6,14,46,0.30434782608695654,,8,8,0,8,0,6,2,2,9,0.2222222222222222,,Ok
,One Marina Place,42,39,3,28,0.10714285714285714,,40,40,0,40,0,39,1,1,9,0.1111111111111111,,Ok
,Paramo,14,13,1,12,0.08333333333333333,,14,13,1,13,0,13,0,1,9,0.1111111111111111,,Ok
,Punto Nima,47,2,45,58,0.7758620689655172,,6,2,4,2,0,2,0,4,9,0.4444444444444444,,Ok
,Santarena,40,23,17,7,2.4285714285714284,,40,31,9,27,4,23,4,17,7,2.4285714285714284,,Ok
,Sun & Sea condos,22,14,8,33,0.24242424242424243,,14,14,0,14,0,14,0,0,9,0,,Ok
,THE CANYON ENTRE PIEDRAS,45,22,23,9,2.5555555555555554,,45,29,16,27,2,22,5,23,9,2.5555555555555554,,Ok
,Tortuga Bay,45,23,22,37,0.5945945945945946,,24,23,1,23,0,23,0,1,9,0.1111111111111111,,Ok
,Verandas,22,3,19,113,0.168141592920354,,4,4,0,3,1,3,0,1,9,0.1111111111111111,,Ok
,Vitai T1,48,48,0,1,0,,-,-,0,-,0,48,0,0,1,0,,Ok
,Wen Living,33,8,25,41,0.6097560975609756,,11,13,0,11,2,8,3,5,9,0.5555555555555556,,Ok
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Notas:,,,,,,,,,,,,,,,,,,
,[1] 40 proyectos estudiados en el levantamiento,,,,,,,"[5] Obtenido como la diferencia entre el Inventario Disponible de Q_i y el de Q_i-1 sólo cuando dicha diferencia sea positiva (es decir, ventas positivas); en caso contrario, se ha colocado 0 para solo considerar ventas reales (no cancelaciones)",,,,,,,,,,,
,[2] Información obtenida directaemente de 4S Real Estate al Q3 2025,,,,,,,[6] Obtenido como la suma de las Ventas en Q1. Q2 y Q3 de 2025,,,,,,,,,,,
,[3] Obtenido como la diferencia entre el stock inicial y las unidades disponibles al Q3 2025,,,,,,,"[7] Para proyectos antigüos (entendíendose por antigüos a aquellos que existieran antes de 2025) se ha tomado 9 meses, equivalentes a la distancia temporal entre Q4 2024 y Q3 2025. ",,,,,,,,,,,
,[4] Obtenida como el cociente entre Ventas Totales y Meses en el Mercado,,,,,,,Para proyectos que tengan menos de 9 meses en el mercado se tomó la misma cantidad que la dada por 4S Real Estate en la tabla de la izquierda (*),,,,,,,,,,,
,,,,,,,,[8] Obtenida como el cociente entre [6] y [7],,,,,,,,,,,
