Proyecto,Desarrollador,Último Trimestre,Absorción por Proyecto,Meses de Inventario,Meses en el Mercado,Unidades Totales,Unidades Inventario,Precio Promedio Inv.,$M2 Promedio Inv,M2 Promedio Inv,Estatus,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
Aisha Cabo Living,Grupo VEQ,2025 - Q3,1,25,7,32,25,12889648.44,82798.05338158477,156.36,Preventa,,,,,,,,,
Alana Cerro Colorado,Grupo VEQ,2025 - Q3,0.7777777777777778,51.42857142857143,9,47,40,6692240.0025,66491.73767621059,102.06374999999996,Preventa,,Etiquetas de fila,Cuenta de Proyecto,Suma de Unidades Totales,Promedio de Meses de Inventario,,,,
Alba Residences Torre Alba 1,Otro,2025 - Q3,0.30303030303030304,26.4,33,18,8,5555880,40465.25855790241,137.29999999999998,En Construcción,,2020 - Q1,3,89,56.89814814814815,,,,
Alvar Torre 6,DISCOVERING MÉXICO,2025 - Q3,0.2413793103448276,16.57142857142857,29,11,4,68612578.875,172551.59813603785,403.60999999999996,En Construcción,,2020 - Q2,4,165,41.230303030303034,,,,
Amarae Fase 1,Otro,2025 - Q3,3.3,3.3333333333333335,10,44,11,1680909.0909091,31418.861512319454,53.5,Preventa,,2020 - Q3,4,165,40.94444444444444,,,,
Ameth,Otro,2025 - Q3,0.047619047619047616,294,21,15,14,9361793.7428571,83485.59428063741,112.34642857142855,Preventa,,2020 - Q4,7,276,27.277983920841063,,,,
Aromi Residences,Otro,2025 - Q3,0.3333333333333333,126,6,44,42,10195261.142857,59465.044541830364,174.57142857142858,Preventa,,2021 - Q1,8,442,30.75970695970696,,,,
Avalon,Otro,2025 - Q3,0.45,24.444444444444443,20,20,11,5413472.7272727,44881.28184029059,120.78727272727274,Preventa,,2021 - Q2,14,604,27.45674167102738,,,,
Avita Living San Jose T. Agave,Otro,2025 - Q3,-,-,7,16,16,10858019.0625,67098.02811200937,163.621875,Friends & Family,,2021 - Q3,17,679,26.68007652070152,,,,
Balena Los Cabos,EMAN,2025 - Q3,0.3333333333333333,30,42,24,10,6952170,51363.18972804541,135.08,En Construcción,,2021 - Q4,23,987,26.670892857142853,,,,
Balmar,Otro,2025 - Q3,1.5,0,16,24,0,$,-,-,Preventa,,2022 - Q1,27,1132,24.988652182115167,,,,
Breeze of Cabo,Si Soluciones Inmobiliarias,2025 - Q3,0.29411764705882354,20.4,34,16,6,5023350,46728.83720930233,107.5,Terminado,,2022 - Q2,39,1774,20.84267476016849,,,,
Cabo Costa,Ventura One,2025 - Q3,0.9166666666666666,4.363636363636364,48,48,4,6633750,60306.818181818184,110,Terminado,,2022 - Q3,52,2201,21.07602532145723,,,,
Cabo Costa Vela Tower,Ventura One,2025 - Q3,0.3958333333333333,10.105263157894738,48,23,4,6732112.5,62916.93925233645,107,En Construcción,,2022 - Q4,59,2309,21.51163216270766,,,,
Camino del Mar,Otro,2025 - Q3,1.3148148148148149,0.7605633802816901,54,72,1,5155219.8,57280.22,90,Terminado,,2023 - Q1,64,2444,17.838940223847533,,,,
Cangrejos 14,Otro,2025 - Q3,0.4166666666666667,9.6,12,9,4,2983500,34190.06661607218,87.4,Preventa,,2023 - Q2,71,2693,17.29119293668384,,,,
Casa Adobe Torre Tammi,DISCOVERING MÉXICO,2025 - Q3,0.2926829268292683,30.75,41,21,9,9116848.5333333,63480.936989984395,147.11111111111111,En Construcción,,2023 - Q3,75,2786,15.602027794713457,,,,
Casa Nima,Central de Arquitectura,2025 - Q3,1.4736842105263157,25.107142857142858,38,93,37,10149575.675676,77965.41332096947,130.00972972972968,En Construcción,,2023 - Q4,80,2879,18.644921434940276,,,,
Cenit Torre Bahia,Baja Capstone,2025 - Q3,0.17857142857142858,134.4,28,29,24,16402068.623375,75960.53888885301,214.45833333333334,En Construcción,,2024 - Q1,83,2925,20.591167060957936,,,,
Cenit Torre Palmilla,Baja Capstone,2025 - Q3,0.6086956521739131,3.2857142857142856,46,30,2,14079727.2,87998.295,160,En Construcción,,2024 - Q2,86,3007,23.569585280491037,,,,
CIAN,Cuadro,2025 - Q3,0.6666666666666666,24,24,32,16,7978800,46158.38765950573,177.125,Preventa,,2024 - Q3,88,3043,24.80479755007318,,,,
Colorado Hills Fase 1,Si Soluciones Inmobiliarias,2025 - Q3,0.6938775510204082,1.4411764705882353,49,35,1,5668425,58960.11025587685,96.14,En Construcción,,2024 - Q4,92,3173,23.088755439496495,,,,
