Proyecto,Desarrollador,Último Trimestre,Absorción por Proyecto,Meses de Inventario,Meses en el Mercado,Unidades Totales,Unidades Inventario,Precio Promedio Inv.,$M2 Promedio Inv,M2 Promedio Inv,Estatus,Unnamed: 12,Unnamed: 13,Unnamed: 14
Cardinal Living,Otro,2020 - Q1,0.8,41.25,10,41,33,6123048.9090909,75061.5370128314,87.51515151515152,Vendido,,,
Pedregal Towers,Otro,2020 - Q1,0.3333333333333333,63,15,26,21,5961125.0,41916.496397019924,140.14285714285714,Vendido,,Etiquetas de fila,Suma de Unidades Totales
Verandas,Otro,2020 - Q1,0.1956521739130435,66.44444444444444,46,22,13,53093658.320769,178691.9363443035,300.87769230769237,Terminado,,2020 - Q1,89
Serena Residences,GNS Génesis Capital,2020 - Q2,6,10.666666666666666,2,76,64,9158059.8946484,63958.396824825526,145.57171875,Vendido,,2020 - Q2,76
Ladera San Jose T2AB,Otro,2020 - Q4,4,6,1,28,24,5243350.0,41554.194828092855,128.875,Vendido,,2020 - Q4,111
Punto Nima,Fortem Capital,2020 - Q4,3,14.666666666666666,1,47,44,8893589.0909091,71676.0949135114,124.19590909090917,Terminado,,2021 - Q1,166
Vista Azul,Otro,2020 - Q4,6,5,1,36,30,6096533.3333333,88608.8919781691,96.5,Vendido,,2021 - Q2,162
Vista Velas Fase 3,Grupo Velas,2021 - Q1,11.666666666666666,11.22857142857143,3,166,131,3712608.0916031,31731.230830935085,116.62458015267171,Preventa,,2021 - Q3,75
Camino del Mar,Otro,2021 - Q2,2,33,3,72,66,2902900.0,32254.44444444448,90.0,Terminado,,2021 - Q4,308
Tramonti Paradiso Torre B,DISCOVERING MÉXICO,2021 - Q2,-,-,2,20,20,8534610.0,51184.41656929647,170.7425,En Construcción,,2022 - Q1,145
Tramonti Paradiso Torre C,DISCOVERING MÉXICO,2021 - Q2,1,18,2,20,18,9120675.5555556,53010.05951353134,174.76388888888889,Vendido,,2022 - Q2,642
Tramonti Paradiso Torre D,DISCOVERING MÉXICO,2021 - Q2,1.5,11.333333333333334,2,20,17,9729676.4705882,54495.83840923499,178.99941176470588,Vendido,,2022 - Q3,427
Tramonti Paradiso Torre E,DISCOVERING MÉXICO,2021 - Q2,1,13,2,15,13,5734784.6153846,36944.821396270876,158.70615384615388,Vendido,,2022 - Q4,108
Tramonti Paradiso Torre F,DISCOVERING MÉXICO,2021 - Q2,0.5,28,2,15,14,6447967.1428571,40086.29112008879,166.2757142857143,Vendido,,2023 - Q1,135
Colorado Hills Fase 1,Si Soluciones Inmobiliarias,2021 - Q3,5,6,1,35,30,4702192.9166667,37201.98297333885,127.11433333333336,En Construcción,,2023 - Q2,249
Cuatro Vientos Fase 1 Torre A1,Inde,2021 - Q3,6,2.3333333333333335,1,20,14,6458532.1428571,52467.42864028948,127.17285714285715,Vendido,,2023 - Q3,93
Cuatro Vientos Fase 1 torre A2,Inde,2021 - Q3,2,9,1,20,18,8480075.0,67848.35514630207,128.13222222222225,Vendido,,2023 - Q4,237
Cabo Costa,Ventura One,2021 - Q4,2.6666666666666665,15,3,48,40,6077160.0,53007.15231259968,115.85,Terminado,,2024 - Q1,139
Cabo Costa Vela Tower,Ventura One,2021 - Q4,-,-,3,23,23,7268608.6956522,57864.81158013057,133.91304347826087,En Construcción,,2024 - Q2,117
Cenit Torre Palmilla,Baja Capstone,2021 - Q4,4,6.5,1,30,26,13910969.233385,75370.86997582417,185.0,En Construcción,,2024 - Q3,119
