Codigo COL,Proyecto,Desarrollador,Último Trimestre,Absorción por Proyecto,Meses de Inventario,Meses en el Mercado,Unidades Totales,Unidades Inventario,Precio Promedio Inv.,$M2 Promedio Inv,M2 Promedio Inv,Estatus,Latitud,Longitud,Fecha Inicio Venta,Último Levantamiento,Alberca,Asadores,Bar,Canchas Deportivas,Casa Club,Fogatero,Gimnasio,Jacuzzi,Ludoteca,Pet Zone,Pista de Jogging ,Sala de Cine,Salón de Usos Multiples,Salón de Yoga,Sauna,Spa,Terraza
CAB-10266,Dunna,Otro,2025 - Q3,2.5555555555555554,16.434782608695652,9.0,65,42,21153086.187571,101685.88987959048,208.02380952380952,Preventa,22.993750876692687,-109.73706388878435,2025-01-01,2025-10-01,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
CAB-10276,THE CANYON ENTRE PIEDRAS,Otro,2025 - Q3,2.5555555555555554,8.608695652173914,9.0,45,22,16171433.04587809,81115.25923605061,199.36363636363637,Preventa,22.976431816005903,-109.79806091391629,2025-01-01,2025-10-01,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
CAB-10263,Santarena,Otro,2025 - Q3,2.4285714285714284,9.470588235294118,7.0,40,23,8811007.6173913,84273.08593100232,104.55304347826086,Preventa,22.998302617433595,-109.73565729278039,2025-03-01,2025-10-01,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAB-11643,Cenit,Baja Capstone,2025 - Q3,1.6666666666666667,15.6,46.0,59,26,16223427.0,77313.31967213114,209.84,En Construcción,23.050118483876155,-109.70083711647692,2023-06-01,2025-10-01,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
CAB-12526,Nolah,Baja Capstone,2025 - Q3,1.1111111111111112,5.3999999999999995,9.0,16,6,12776596.4,101039.36734720776,126.45166666666667,Preventa,23.04070169565988,-109.70371571656761,2025-01-01,2025-10-01,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAB-09879,Hideaways,Otro,2025 - Q3,1.0,75.0,10.0,85,75,7237248.376000026,68479.29867190508,105.68520000000004,Preventa,23.056819572706384,-109.71088625938329,2024-12-01,2025-10-01,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
CAB-10277,Alana Cerro Colorado,Grupo VEQ,2025 - Q3,0.7777777777777778,51.42857142857143,9.0,47,40,6692240.0025,65569.2153433516,102.06374999999996,Preventa,23.00304136015735,-109.73724151607496,2025-01-01,2025-10-01,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
CAB-08415,Laiva Art Walk,Otro,2025 - Q3,0.7777777777777778,6.428571428571429,21.0,35,5,9545280.0,88303.73001776199,108.096,Preventa,23.061122479913763,-109.69587779315553,2024-01-01,2025-10-01,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
CAB-09279,Mare,Cuadro,2025 - Q3,0.7777777777777778,18.0,24.0,50,14,12282290.742857,56759.03707200107,216.39357142857148,Preventa,23.044740281580427,-109.69988396335627,2023-10-01,2025-10-01,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAB-12531,Muralla,Grupo Troy,2025 - Q3,0.6666666666666666,36.0,6.0,28,24,27296864.583333,107928.29489291467,252.91666666666666,Preventa,23.0273233,-109.7179064,2025-04-01,2025-10-01,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
