Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,´,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,,Proyectos Activos,Proyectos Nuevos,Stock Inicial (Activos),Stock Inicial (Nuevos Proyectos),Inventario por Trimestre,Ticket Promedio por Trimestre (M),$xm2 Promedio por Trimestre (k),Superficie Promedio por Trimestre,Ventas por Trimestre,Absorción mensual por Trimestre,Meses de Inventario Promedio
,2020 - Q1,3,0,89,0,67,15.185996972686517,104.43571262421098,145.41,3,1,34.20284618502299
,2020 - Q2,4,1,165,76,126,12.83,88.34262893341597,145.23,17,5.666666666666667,32.00933253101828
,2020 - Q3,4,0,165,0,117,12.23,84.26927582167713,145.13,9,3,30.247602072031754
,2020 - Q4,7,3,276,111,208,9.73,73.56721608952064,132.26,20,6.666666666666667,27.099842255122233
,2021 - Q1,8,1,442,166,328,7.639615889566463,60.36945025261127,126.54771341463413,46,15.333333333333332,21.39130434782609
,2021 - Q2,14,6,604,162,448,7.15492198185982,55.41728520516413,129.10993303571428,42,14,32
,2021 - Q3,17,3,679,75,469,7.4906597063298515,57.63788204747967,129.96070362473347,54,18,26.055555555555557
,2021 - Q4,23,6,987,308,694,10.66350772170605,69.26930026826093,153.94276657060516,83,27.666666666666664,25.084337349397593
,2022 - Q1,27,4,1132,145,724,10.651744868523343,66.69869002739952,159.6994613259669,114.99999999999999,38.33333333333333,18.886956521739133
,2022 - Q2,39,12,1774,642,1145,10.043086710166222,65.28812712743208,153.82715283842816,220.99999999999997,73.66666666666666,15.542986425339368
,2022 - Q3,52,13,2201,427,1339,10.332644202572068,68.85582673334346,150.06201643017206,232.99999999999997,77.66666666666666,17.240343347639488
,2022 - Q4,59,7,2309,108,1221,11.203950211187141,72.67256135686385,154.17029484029516,226,75.33333333333333,16.207964601769913
,2023 - Q1,64,5,2444,135,1114,11.132102112457629,73.16943824988127,152.141418312388,241.99999999999997,80.66666666666666,13.809917355371903
,2023 - Q2,71,7,2693,249,1131,10.882730187410077,72.05606577653889,151.03142351900985,232,77.33333333333333,14.625000000000002
,2023 - Q3,75,4,2786,93,1019,11.439200560814145,74.09154308676509,154.39279685966642,205,68.33333333333333,14.912195121951221
,2023 - Q4,80,9,2879,237,1098,11.306405592523861,72.4314588040253,156.09799635701276,158,52.666666666666664,20.848101265822784
,2024 - Q1,83,7,2925,139,1085,11.108532886762672,70.93565185179133,156.60013824884797,152,50.666666666666664,21.414473684210527
,2024 - Q2,86,5,3007,117,1075,12.258504687992806,77.92508108545275,157.3114139534884,126.99999999999999,42.33333333333333,25.393700787401578
,2024 - Q3,88,5,3043,119,1052,12.836002560973528,83.47484671714636,153.77090304182514,142,47.33333333333333,22.22535211267606
,2024 - Q4,92,6,3173,185,1133,12.34996537292511,85.11902125655688,145.09054721977046,104,34.666666666666664,32.68269230769231
,2025 - Q1,100,13,3465,403,1409,13.1849669914643,90.33982726042616,145.94855216465578,127,39.33333333333333,35.82203389830509
,2025 - Q2,104,2,3588,68,1385,12.489669865970066,84.55964160954882,147.70249291784702,105,35,39.57142857142857
,2025 - Q3,105,2,3637,64,1355,12.011196706039248,81.26379491023472,147.80501845018446,94,31.333333333333332,43.24468085106383
