Codigo COL,Proyecto,Desarrollador,Tipo de Modelo,Nombre Modelo,Precio Promedio Inv.,$M2 Promedio Inv,Metrajes (M2),Dormitorios,Baños,Cajones,Unidades Totales,Unidades Inventario,Meses en el Mercado,Ventas,Abs
CAB-12531,Muralla,Grupo Troy,Penthouse,Garden House,27491652.174999993,111754.68363821135,246,4 Recámaras,4.0,2.0,10.0,10.0,6.0,0.0,0.0
CAB-12531,Muralla,Grupo Troy,Penthouse,Sand House RT,38031181.77857142,114207.75308880306,333,4 Recámaras,3.0,2.0,7.0,7.0,6.0,0.0,0.0
CAB-12531,Muralla,Grupo Troy,Tradicional,Flying House,18548740.827272728,112416.61107438017,165,2 Recámaras,2.0,2.0,4.0,3.0,6.0,1.0,0.16666666666666666
CAB-12531,Muralla,Grupo Troy,Tradicional,Sand House,22801420.395833332,116333.7775297619,196,3 Recámaras,3.0,2.0,7.0,4.0,6.0,3.0,0.5
CAB-12529,Vitai T1,Otro,Penthouse,3R150,8838899.999999998,58925.999999999985,150,3 Recámaras,3.0,2.0,4.0,4.0,1.0,0.0,0.0
CAB-12529,Vitai T1,Otro,Tradicional,2R 102,6901845,67665.14705882352,102,2 Recámaras,2.0,2.0,4.0,4.0,1.0,0.0,0.0
CAB-12529,Vitai T1,Otro,Tradicional,2R 106,6998987.499999999,66028.18396226414,106,2 Recámaras,2.0,1.0,36.0,36.0,1.0,0.0,0.0
CAB-12529,Vitai T1,Otro,Tradicional,3R134,8838899.999999998,66457.89473684209,133,3 Recámaras,3.0,2.0,4.0,4.0,1.0,0.0,0.0
CAB-12528,Casa Nima,Central de Arquitectura,Penthouse,3 bed condo PH,12758167.254237287,78270.964749922,163,3 Recámaras,3.0,2.0,12.0,8.0,38.0,4.0,0.10526315789473684
CAB-12528,Casa Nima,Central de Arquitectura,Penthouse,4 bed condo PH,25682791.666666668,91724.25595238096,280,4 Recámaras,4.0,2.0,4.0,0.0,38.0,4.0,0.10526315789473684
CAB-12528,Casa Nima,Central de Arquitectura,Tradicional,1 bed condo,7333889.72,79716.19260869565,92,1 Recámara,1.0,1.0,20.0,1.0,38.0,19.0,0.5
CAB-12528,Casa Nima,Central de Arquitectura,Tradicional,2 bed condo,8877545.19193372,73368.14208209685,121,2 Recámaras,2.0,1.0,57.0,28.0,38.0,29.0,0.7631578947368421
CAB-12526,Nolah,Baja Capstone,Tradicional,1R,7062560.7633,123904.57479473684,57,1 Recámara,1.0,1.0,4.0,0.0,9.0,4.0,0.4444444444444444
CAB-12526,Nolah,Baja Capstone,Tradicional,2R 97m2,11236904.804199997,117051.09171041664,96,2 Recámaras,2.0,1.0,4.0,1.0,9.0,3.0,0.3333333333333333
