Codigo COL,Proyecto,Desarrollador,Tipo de Modelo,Nombre Modelo,Precio Promedio Inv.,$M2 Promedio Inv,Metrajes (M2),Dormitorios,Baños,Cajones,Unidades Totales,Unidades Inventario,Meses en el Mercado,Ventas,Abs
CAB-12531,Muralla,Grupo Troy,Penthouse,Garden House,27491652.174999993,111754.68363821135,246,4 Recámaras,4,2,10,10,6,0,0.0
CAB-12531,Muralla,Grupo Troy,Penthouse,Sand House RT,38031181.77857142,114207.75308880306,333,4 Recámaras,3,2,7,7,6,0,0.0
CAB-12528,Casa Nima,Central de Arquitectura,Penthouse,4 bed condo PH,25682791.666666668,91724.25595238096,280,4 Recámaras,4,2,4,0,38,4,0.10526315789473684
CAB-12522,Avita Living San Jose T. Agave,Otro,Penthouse,4B,21388125.0,138883.92857142858,154,4 Recámaras,4,3,1,1,7,0,0.0
CAB-10278,THE CANYON ENTRE PIEDRAS,Otro,Tradicional,4R 2.5,15974306.0373,78305.42175147058,204,4 Recámaras,2,2,1,1,9,0,0.0
CAB-10278,THE CANYON ENTRE PIEDRAS,Otro,Tradicional,4R 4,14861045.3355,65467.16006828194,227,4 Recámaras,4,2,5,2,9,3,0.3333333333333333
CAB-10276,THE CANYON ENTRE PIEDRAS,Otro,Tradicional,4r 3.5,17004501.338499997,74909.6975264317,227,4 Recámaras,3,2,1,1,9,0,0.0
CAB-10276,THE CANYON ENTRE PIEDRAS,Otro,Tradicional,4r 4.5,15890971.2,76398.9,208,4 Recámaras,4,2,4,0,9,4,0.4444444444444444
CAB-10266,Dunna,Otro,Garden House,Modelo C GH,33484941.133333337,78235.84376947042,428,4 Recámaras,4,2,2,2,9,0,0.0
CAB-10266,Dunna,Otro,Penthouse,Modelo C PH,48796288.449999996,103601.46167728236,471,4 Recámaras,4,2,2,0,9,2,0.2222222222222222
CAB-10266,Dunna,Otro,Tradicional,Modelo C,23565437.48823529,99853.5486789631,236,4 Recámaras,4,2,8,5,9,3,0.3333333333333333
CAB-10258,Verandas,Otro,Penthouse,Modelo C PH,61212391.139999986,117265.11712643676,522,4 Recámaras,4,2,1,0,113,1,0.008849557522123894
CAB-10258,Verandas,Otro,Penthouse,Modelo E PH,76464897.05635218,146484.47711944862,522,4 Recámaras,4,2,1,0,113,1,0.008849557522123894
CAB-10258,Verandas,Otro,Tradicional,Modelo C,57660261.344653845,161967.02624902767,356,4 Recámaras,4,2,4,2,113,2,0.017699115044247787
CAB-10258,Verandas,Otro,Tradicional,Modelo E,52726725.0290039,146871.10035934235,359,4 Recámaras,4,2,4,1,113,3,0.02654867256637168
CAB-10255,Emma,Otro,Tradicional,Residencia A,53448785.40260313,144066.80701510276,371,4 Recámaras,4,2,5,1,29,4,0.13793103448275862
CAB-10255,Emma,Otro,Tradicional,Residencia C,70100520.2632168,184475.05332425472,380,4 Recámaras,4,2,5,1,29,4,0.13793103448275862
CAB-09879,Hideaways,Otro,Tradicional,4R Departamento,12669455.211592307,81738.42071995037,155,4 Recámaras,3,2,4,3,10,1,0.1
CAB-09878,Hideaways,Otro,Tradicional,4R Departamento,11214797.511149999,72353.53232999999,155,4 Recámaras,3,2,6,6,10,0,0.0
CAB-09868,Larena F.1,Otro,Garden House,Garden House,32229027.136800006,111906.34422500002,288,4 Recámaras,4,2,10,8,17,2,0.11764705882352941
CAB-09868,Larena F.1,Otro,Penthouse,Penthouse,31510087.04134782,117574.95164682022,268,4 Recámaras,4,2,10,7,17,3,0.17647058823529413
CAB-09868,Larena F.1,Otro,Tradicional,First Level,29330232.4260898,109441.16576899179,268,4 Recámaras,4,2,10,8,17,2,0.11764705882352941
CAB-05654,North Enclave Fase 1,Otro,Penthouse,PH,156198420.0,212804.38692098093,734,4 Recámaras,4,2,4,0,46,4,0.08695652173913043
