Codigo COL,Proyecto,Desarrollador,Tipo de Modelo,Nombre Modelo,Precio Promedio Inv.,$M2 Promedio Inv,Metrajes (M2),Dormitorios,Baños,Cajones,Unidades Totales,Unidades Inventario,Meses en el Mercado,Ventas,Abs,Unnamed: 16,Unnamed: 17
CAB-12528,Casa Nima,Central de Arquitectura,Tradicional,1 bed condo,7333889.72,79716.19260869565,92,1 Recámara,1,1,20,1,38,19,0.5,,
CAB-12526,Nolah,Baja Capstone,Tradicional,1R,7062560.7633,123904.57479473684,57,1 Recámara,1,1,4,0,9,4,0.4444444444444444,,
CAB-10277,Alana Cerro Colorado,Grupo VEQ,Tradicional,Tipo A,3860096.9788999995,72832.01846981132,53,1 Recámara,1,1,2,1,9,1,0.1111111111111111,,
CAB-10277,Alana Cerro Colorado,Grupo VEQ,Tradicional,Tipo B,4699509.141,70141.92747761194,67,1 Recámara,1,1,4,2,9,2,0.2222222222222222,,
CAB-10277,Alana Cerro Colorado,Grupo VEQ,Tradicional,Tipo F,7231349.4961875,59763.218976756194,121,1 Recámara,1,1,3,2,9,1,0.1111111111111111,,
CAB-09879,Hideaways,Otro,Tradicional,1R Loft,5163445.326695651,75933.01951023017,68,1 Recámara,1,1,18,17,10,1,0.1,,
CAB-09878,Hideaways,Otro,Loft,1R Loft,5258695.077821427,77333.75114443275,68,1 Recámara,1,1,6,5,10,1,0.1,,
CAB-08415,Laiva Art Walk,Otro,Penthouse,1R PH,8381251.004545453,106091.78486766396,79,1 Recámara,1,1,3,0,21,3,0.14285714285714285,,
CAB-08415,Laiva Art Walk,Otro,Tradicional,1R GARDEN,7853032.449999999,80132.98418367346,98,1 Recámara,1,1,1,0,21,1,0.047619047619047616,,
CAB-08415,Laiva Art Walk,Otro,Tradicional,1R STANDAD,8203303.924827587,102541.29906034484,80,1 Recámara,1,1,8,2,21,6,0.2857142857142857,,
CAB-05662,Sun & Sea condos,Construyendo Alkimia,Loft,Studio,3216518.922004342,55457.22279317831,58,1 Recámara,1,1,6,2,33,4,0.12121212121212122,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,Etiquetas de fila,Suma de Unidades Inventario,Suma de Abs,Promedio de Precio Promedio Inv.,Promedio de Metrajes (M2),Promedio de $M2 Promedio Inv,,,,,,,
,,,,1000000,<3800000,2,0.12121212121212122,3216518.922004342,58,55457.22279317831,,,,,,,
,,,,,3800000-4300000,1,0.1111111111111111,3860096.9788999995,53,72832.01846981132,,,,,,,
,,,,,4300000-4800000,2,0.2222222222222222,4699509.141,67,70141.92747761194,,,,,,,
,,,,,4800000-5300000,22,0.2,5211070.202258538,68,76633.38532733146,,,,,,,
,,,,,>5800000,5,1.5317460317460316,7677564.55981009,87.83333333333333,92025.00908197848,,,,,,,
,,,,,Total general,32,2.1862914862914864,6205786.618661996,76.45454545454545,82167.99944428504,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Etiquetas de fila,Suma de Unidades Inventario,Suma de Abs,Promedio de Precio Promedio Inv.,Promedio de Metrajes (M2),Promedio de $M2 Promedio Inv
,,,,,,,,,,,,<65,3,0.6767676767676768,4713058.8880681135,56,84064.6053525755
,,,,,,,,,,,,65-69,24,0.42222222222222217,5040549.848505692,67.66666666666667,74469.56604409161
,,,,,,,,,,,,75-80,2,0.42857142857142855,8292277.46468652,79.5,104316.5419640044
,,,,,,,,,,,,>80,3,0.6587301587301588,7472757.222062499,103.66666666666667,73204.13192304177
,,,,,,,,,,,,Total general,32,2.186291486291486,6205786.618661996,76.45454545454545,82167.99944428503
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Ticket,Alana (1),Alana (2),,Alana (2),
,,,,,,,,,,,,< $3.8M,$3.8 - $4.3M,$4.3 - $4.8M,$4.8 - $5.3M,>$5.3M,
,,,,,,,,,,,Inventario ,2,1,2,22,5,
,,,,,,,,,,,Absorción,0.12121212121212122,0.1111111111111111,0.2222222222222222,0.2,1.5317460317460316,
,,,,,,,,,,,Meses de Inv.,16.5,9,9,110,3.2642487046632125,
,,,,,,,,,,,Ticket ($M),3.216518922004342,3.8600969788999997,4.699509141,5.211070202258538,7.67756455981009,
,,,,,,,,,,,Superficie (m2),58,53,67,68,87.83333333333333,
,,,,,,,,,,,$xm2 ($k),55.45722279317831,72.83201846981132,70.14192747761194,76.63338532733145,92.02500908197848,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Superficie,,,,,
,,,,,,,,,,Donde esta alana,,Alana (1),Alana (2),,Alana (2),,
,,,,,,,,,,,,<60,60-69,70-80,>80,,
,,,,,,,,,,,Inventario ,3,24,2,3,,
,,,,,,,,,,,Absorción,0.6767676767676768,0.42222222222222217,0.42857142857142855,0.6587301587301588,,
,,,,,,,,,,,Meses de Inv.,4.432835820895522,56.842105263157904,4.666666666666667,4.554216867469878,,
,,,,,,,,,,1000,Ticket ($M),4.7130588880681135,5.040549848505692,8.29227746468652,7.4727572220625,,
,,,,,,,,,,,Superficie (m2),56,67.66666666666667,79.5,103.66666666666667,,
,,,,,,,,,,,$xm2 ($k),84.0646053525755,74.46956604409161,104.3165419640044,73.20413192304177,,
