Codigo COL,Proyecto,Desarrollador,Tipo de Modelo,Nombre Modelo,Precio Promedio Inv.,$M2 Promedio Inv,Metrajes (M2),Dormitorios,Baños,Cajones,Unidades Totales,Unidades Inventario,Meses en el Mercado,Ventas,Abs,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31
CAB-12531,Muralla,Grupo Troy,Tradicional,Flying House,18548740.827272728,112416.61107438017,165,2 Recámaras,2.0,2,4,3,6,1,0.16666666666666666,,,,,,,,,,,,,,,,
CAB-12529,Vitai T1,Otro,Tradicional,2R 102,6901845,67665.14705882352,102,2 Recámaras,2.0,2,4,4,1,0,0,,,,,,,,,,,,,,,,
CAB-12529,Vitai T1,Otro,Tradicional,2R 106,6998987.499999999,66028.18396226414,106,2 Recámaras,2.0,1,36,36,1,0,0,,,,,,,,,,,,,,,,
CAB-12528,Casa Nima,Central de Arquitectura,Tradicional,2 bed condo,8877545.19193372,73368.14208209685,121,2 Recámaras,2.0,1,57,28,38,29,0.7631578947368421,,,,,,,,,,,,,,,,
CAB-12526,Nolah,Baja Capstone,Tradicional,2R 97m2,11236904.804199997,117051.09171041664,96,2 Recámaras,2.0,1,4,1,9,3,0.3333333333333333,,,,,,,,,,,,,,,,
CAB-12526,Nolah,Baja Capstone,Tradicional,2R 110 m2,12075117.984509092,102331.50834329739,118,2 Recámaras,2.0,1,4,3,9,1,0.1111111111111111,,,,,,,,,,,,,,,,
CAB-12522,Avita Living San Jose T. Agave,Otro,Garden House,2B + GH,10407210,49323.270142180096,211,2 Recámaras,3.0,2,2,2,7,0,0,,,,,,,,,,,,,,,,
CAB-12522,Avita Living San Jose T. Agave,Otro,Tradicional,2B,7171770,64033.66071428572,112,2 Recámaras,1.0,1,4,4,7,0,0,,,,,,,,,,,,,,,,
CAB-12522,Avita Living San Jose T. Agave,Otro,Tradicional,2B +,11571090,64642.960893854746,179,2 Recámaras,3.0,2,8,8,7,0,0,,,,,,,,,,,,,,,,Etiquetas de fila
CAB-11643,Cenit,Baja Capstone,Garden House,2R Garden,11978932.3730168,62716.92341893613,191,2 Recámaras,2.0,2,6,6,28,0,0,,,,,,,,,,,,,,,,1 Recámara
CAB-11643,Cenit,Baja Capstone,Penthouse,2R PH,27616281.488648605,80279.8880483971,344,2 Recámaras,2.0,2,3,1,28,2,0.07142857142857142,,,,,,,,,,,,,,,,Total general
CAB-10281,Tortuga Bay,Otro,Tradicional,Residence E,18327907.634782612,122186.05089855075,150,2 Recámaras,2.0,2,17,10,37,7,0.1891891891891892,,,,,,,,,,,,,,,,
