Proyecto,Desarrollador,Último Trimestre,Absorción por Proyecto,Meses de Inventario,Meses en el Mercado,Unidades Totales,Unidades Inventario,Precio Promedio Inv.,$M2 Promedio Inv,M2 Promedio Inv,Unnamed: 11,ID,Stock Inicial,Inventario,Ventas ,Ticket ($M),$xm2 ($k),Superficie,Absorción,Meses Mercado,Meses de Inv.,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52
North Enclave Fase 1,Otro,2025 - Q3,0.2222222222222222,27.0,46.0,20.0,6.0,90127500.0,144899.51768488745,622.0,,Nort,20.0,6.0,14.0,90.1275,144.89951768488746,622.0,0.2222222222222222,46.0,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Verandas,Otro,2025 - Q3,0.1111111111111111,27.0,113.0,22.0,3.0,77775000.0,217613.3184107443,357.3999999999999,,Vera,22.0,3.0,19.0,77.775,217.6133184107443,357.3999999999999,0.1111111111111111,113.0,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emma,Otro,2025 - Q3,0,0.0,29.0,16.0,3.0,68747000.0,185928.32995267073,369.75,,Emma,16.0,3.0,13.0,68.747,185.92832995267074,369.75,0.0,29.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Valle,Otro,2025 - Q3,0,0.0,33.0,12.0,10.0,57031950.0,201135.4258508199,283.55000000000007,,Vale,12.0,10.0,2.0,57.03195,201.1354258508199,283.55000000000007,0.0,33.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Reserva,Tempo Development,2025 - Q3,0.1111111111111111,45.0,20.0,16.0,5.0,45823200.0,142308.07453416148,322.0,,Rese,16.0,5.0,11.0,45.8232,142.30807453416148,322.0,0.1111111111111111,20.0,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Larena F.1,Otro,2025 - Q3,0.1111111111111111,207.0,17.0,30.0,23.0,31062260.869565,112888.17397652191,275.15956521739133,,Lana,30.0,23.0,7.0,31.062260869564998,112.88817397652191,275.15956521739133,0.1111111111111111,17.0,207.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Muralla,Grupo Troy,2025 - Q3,0.6666666666666666,36.0,6.0,28.0,24.0,27296864.583333,107928.29489291467,252.91666666666666,,Mura,28.0,24.0,4.0,27.296864583333,107.92829489291466,252.91666666666666,0.6666666666666666,6.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tortuga Bay,Otro,2025 - Q3,0.1111111111111111,207.0,37.0,45.0,23.0,24072456.521739,127162.72393201583,189.30434782608697,,Tuga,45.0,23.0,22.0,24.072456521739,127.16272393201582,189.30434782608697,0.1111111111111111,37.0,207.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dunna,Otro,2025 - Q3,2.5555555555555554,16.434782608695652,9.0,65.0,42.0,21153086.187571,101685.88987959048,208.02380952380952,,Duna,65.0,42.0,23.0,21.153086187571,101.68588987959048,208.02380952380952,2.5555555555555554,9.0,16.434782608695652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cora,Grupo Habitat,2025 - Q3,0.2222222222222222,9.0,45.0,66.0,2.0,20221481.7,64574.42663260418,313.15,,Cora,66.0,2.0,64.0,20.2214817,64.57442663260419,313.15,0.2222222222222222,45.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
