Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3
,Proyecto,Desarrollador,ID
,Alana Cerro Colorado,Grupo VEQ,Alan
,Avita Living San Jose T. Agave,Otro,Avit
,Casa Nima,Central de Arquitectura,Nima
,Cenit,Baja Capstone,Ceni
,Colorado Hills Fase 1,Si Soluciones Inmobiliarias,Colo
,Colorado Hills Fase II,Si Soluciones Inmobiliarias,Hils
,Cora,Grupo Habitat,Cora
,Cora Sur,Grupo Habitat,Cosu
,Dunna,,Duna
,El Valle,,Vale
,Emma,,Emma
,Hideaways,,Hide
,La Reserva,Tempo Development,Rese
,Laiva Art Walk,,Walk
,Larena F.1,,Lana
,Mare,Cuadro,Mare
,Muralla,Grupo Troy,Mura
,Nolah,Baja Capstone,Nola
,North Enclave Fase 1,,Nort
,One Marina Place,Baja Capstone,OneM
,Paramo,,Para
,Punto Nima,Fortem Capital,Puma
,Santarena,,Rena
,Sun & Sea condos,Construyendo Alkimia,Suse
,THE CANYON ENTRE PIEDRAS,,Cany
,Tortuga Bay,,Tuga
,Verandas,,Vera
,Vitai T1,,Vita
,Wen Living,Awen Developers,Weli
