Codigo COL,Proyecto,Desarrollador,Municipio,Segmento,Colonia,Direccion,Último Trimestre,Absorción por Proyecto,Meses de Inventario,Meses en el Mercado,Unidades Totales,Unidades Inventario,Precio Promedio Inv.,$M2 Promedio Inv,M2 Promedio Inv,Estatus,Latitud,Longitud,Fecha Inicio Venta,Último Levantamiento,Alberca,Areas Verdes,Asadores,Bar,Campo de Golf,Canchas Deportivas,Casa Club,Fogatero,Gimnasio,Golf virtual,Jacuzzi,Lounges,Ludoteca/ Juegos Infantiles,Patio Central,Pet Zone,Pista de Jogging / Vitapista,Roof Graden,Sala de Cine / TV,Sala de Lectura,Salón de Usos Multiples,Salón de Yoga,Sauna,Spa,Terraza,Vestidores
CAB-08059,Camino del Mar,Otro,Los Cabos,Residencial Plus,N/D,"Col El Tezal, 23454 Cabo San Lucas, B.C.S., México",2021 - Q2,2,33,3,72,66,2902900.0,32254.44444444448,90.0,Terminado,22.91527728128748,-109.89424710967052,2021-04-01,2021-07-01,Sí,No,No,No,No,No,No,No,Sí,No,No,No,Sí,No,Sí,No,No,No,No,No,No,No,No,No,No
CAB-05657,Cardinal Living,Otro,Los Cabos,Premium, Ildefonso Green,"C. Cabo San Lucas 775, Downtown, Ildefonso Green, 23468 Cabo San Lucas, B.C.S., México",2021 - Q2,0.72,31.944444444444446,25,41,23,5928096.0869565,72669.42008668564,87.73913043478261,Vendido,22.889922467137318,-109.91940765285871,2019-06-01,2021-07-01,Sí,No,No,No,No,No,No,No,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,No
CAB-05688,Ladera San Jose T2AB,Otro,Los Cabos,Premium, Rancho Cerro Colorado,"2737+VV Tourist Corridor, Rancho Cerro Colorado, Palmilla, B.C.S., México",2021 - Q2,1,21,7,28,21,5901370.7133333,46575.446819473,129.57142857142858,Vendido,23.00467770591358,-109.73536700625152,2020-12-01,2021-07-01,Sí,No,No,Sí,No,Sí,Sí,No,Sí,No,No,No,No,No,No,No,No,No,No,Sí,No,No,No,No,No
CAB-05687,Pedregal Towers,Otro,Los Cabos,Premium, Pedregal,"C. Constitución 225, Pedregal, 23453 Cabo San Lucas, B.C.S., México",2021 - Q2,0.3333333333333333,48,30,26,16,7006703.45375,48367.09364968651,143.125,Vendido,22.882438058816618,-109.9179810249836,2019-01-01,2021-07-01,Sí,No,No,No,No,No,No,No,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
CAB-05681,Punto Nima,Fortem Capital,Los Cabos,Premium, Zona Hotelera,"P.º Malecon San Jose 128, Zona Hotelera, 23406 San José del Cabo, B.C.S., México",2021 - Q2,0.8571428571428571,47.833333333333336,7,47,41,9578323.8770732,76538.72635041719,125.46292682926833,Terminado,23.04111991384007,-109.7060265345587,2020-12-01,2021-07-01,Sí,No,Sí,No,No,Sí,No,No,Sí,No,No,No,Sí,No,No,No,No,No,No,No,No,No,No,Sí,No
CAB-05689,Serena Residences,GNS Génesis Capital,Los Cabos,Premium, Campo de Golf Fonatur,"Rtno. Punta Palmillas 65, Campo de Golf Fonatur, 23405 San José del Cabo, B.C.S., México",2021 - Q2,2.142857142857143,21.46666666666667,14,76,46,9087077.4559783,64123.27387826249,143.7191304347826,Vendido,23.048304103148418,-109.69764734305441,2020-05-01,2021-07-01,Sí,No,Sí,No,No,Sí,Sí,No,Sí,No,No,No,Sí,No,Sí,No,No,No,No,Sí,No,No,No,Sí,No
CAB-05684,Tramonti Paradiso Torre B,DISCOVERING MÉXICO,Los Cabos,Premium,N/D,"W46P+QM Residencial Amalfi, BCS, México",2021 - Q2,-,-,2,20,20,8534610.0,51184.416569296474,170.7425,En Construcción,22.911895951637153,-109.86326446792033,2021-05-01,2021-07-01,Sí,No,No,No,No,Sí,No,No,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,No,No
CAB-05682,Tramonti Paradiso Torre C,DISCOVERING MÉXICO,Los Cabos,Premium,N/D,"W46P+XH Casa Mexicana, BCS, México",2021 - Q2,1,18,2,20,18,9120675.5555556,53010.05951353134,174.76388888888889,Vendido,22.912453230003536,-109.86354198455153,2021-05-01,2021-07-01,Sí,No,No,No,No,Sí,No,No,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,No,No
CAB-05686,Tramonti Paradiso Torre D,DISCOVERING MÉXICO,Los Cabos,Premium, cresta del mar,"la perla 17, cresta del mar, 23467 Cabo San Lucas, B.C.S., México",2021 - Q2,1.5,11.333333333333334,2,20,17,9729676.4705882,54495.83840923499,178.99941176470588,Vendido,22.91203663192625,-109.86397586151872,2021-05-01,2021-07-01,Sí,No,No,No,No,Sí,No,No,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,No,No
CAB-05685,Tramonti Paradiso Torre E,DISCOVERING MÉXICO,Los Cabos,Premium,N/D,"W46Q+R3 Residencial Amalfi, BCS, México",2021 - Q2,1,13,2,15,13,5734784.6153846,36944.821396270876,158.70615384615382,Vendido,22.91208957921546,-109.86230713590236,2021-05-01,2021-07-01,Sí,No,No,No,No,Sí,No,No,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,No,No
CAB-05683,Tramonti Paradiso Torre F,DISCOVERING MÉXICO,Los Cabos,Premium,N/D,"W47P+3V Casa Mexicana, BCS, México",2021 - Q2,0.5,28,2,15,14,6447967.1428571,40086.2911200888,166.2757142857143,Vendido,22.91267452008679,-109.86275071294406,2021-05-01,2021-07-01,Sí,No,No,No,No,Sí,No,No,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,No,No
CAB-10258,Verandas,Otro,Los Cabos,Premium Plus, Querencia Blvrd,"26HX+C6, Querencia Blvrd, 23405 San José del Cabo, B.C.S., México",2021 - Q2,0.19672131147540983,50.833333333333336,61,22,10,56899692.66982,188225.17424016196,306.275,Terminado,23.030397939370573,-109.74862478004465,2016-06-01,2021-07-01,Sí,No,No,Sí,No,Sí,Sí,No,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,No
CAB-05708,Vista Azul,Otro,Los Cabos,Residencial,N/D,"W456+7R, 23467 El tezal, BCS, Mexico",2021 - Q2,1.4285714285714286,18.2,7,36,26,6102904.5,87595.04062403458,96.53846153846153,Vendido,22.90808351905105,-109.8875229232494,2020-12-01,2021-07-01,Sí,No,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,No
CAB-05670,Vista Velas Fase 3,Grupo Velas,Los Cabos,Premium,N/D,"W449+3F Aeropuerto de Cabo San Lucas, 23467 El Tezal, B.C.S., México",2021 - Q2,8.166666666666666,14.326530612244898,6,166,117,3743158.2222222,32354.97542370928,115.81034188034187,Preventa,22.906325594710562,-109.88096349876915,2021-01-01,2021-07-01,Sí,No,Sí,Sí,No,Sí,Sí,No,Sí,No,No,No,No,No,No,No,No,No,No,Sí,No,No,No,No,No
CAB-08059,Camino del Mar,Otro,Los Cabos,Residencial Plus,N/D,"Col El Tezal, 23454 Cabo San Lucas, B.C.S., México",2021 - Q3,1.8333333333333333,33.27272727272727,6,72,61,3173738.2172131,35263.757969034596,90.0,Terminado,22.91527728128748,-109.89424710967052,2021-04-01,2021-10-01,Sí,No,No,No,No,No,No,No,Sí,No,No,No,Sí,No,Sí,No,No,No,No,No,No,No,No,No,No
CAB-05657,Cardinal Living,Otro,Los Cabos,Premium, Ildefonso Green,"C. Cabo San Lucas 775, Downtown, Ildefonso Green, 23468 Cabo San Lucas, B.C.S., México",2021 - Q3,0.7857142857142857,24.181818181818183,28,41,19,6262529.6592737,77172.08711145169,87.57894736842105,Vendido,22.889922467137318,-109.91940765285871,2019-06-01,2021-10-01,Sí,No,No,No,No,No,No,No,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,No
